"Incid_Type","BurnBndAc"
"Unknown",6.91174730025167
"Unknown",7.40123126441302
"Unknown",7.34536484041687
"Unknown",7.5847730776122
"Unknown",6.94985645500077
"Unknown",7.14834574390007
"Unknown",7.45645455517621
"Unknown",7.23921497377981
"Unknown",6.8627579130514
"Unknown",7.55851674304564
"Unknown",6.75110146893676
"Unknown",6.30809844150953
"Unknown",6.38350663488401
"Unknown",6.361302477573
"Unknown",7.11558212618445
"Wildfire",8.04430540699064
"Unknown",7.48380668766583
"Unknown",6.4150969591716
"Unknown",6.78671695060508
"Unknown",6.31354804627709
"Unknown",6.50578406012823
"Wildfire",6.23832462503951
"Wildfire",10.8494147535386
"Unknown",7.79605797431612
"Unknown",7.79358680337158
"Prescribed Fire",6.64378973314767
"Prescribed Fire",7.42952084278646
"Wildfire",7.18992217074581
"Wildfire",6.68210859744981
"Unknown",7.44775128004791
"Unknown",6.78105762593618
"Unknown",6.76619171466035
"Prescribed Fire",6.63463335786169
"Wildfire",6.24222326545517
"Unknown",6.88755257166462
"Wildfire",7.07496319796604
"Wildfire",6.3456363608286
"Unknown",6.68210859744981
"Unknown",7.02642680869964
"Unknown",6.73221070646721
"Wildfire",6.3297209055227
"Unknown",6.70563909486
"Unknown",6.68085467879022
"Unknown",6.50578406012823
"Unknown",6.30261897574491
"Unknown",6.51323011091231
"Unknown",6.26720054854136
"Unknown",6.30078579466324
"Unknown",7.79028238070348
"Unknown",7.59739632021279
"Unknown",7.71110125184016
"Wildfire",6.52941883826223
"Unknown",7.14440718032114
"Wildfire",7.80098207125774
"Wildfire",6.74170069465205
"Wildfire",6.23048144757848
"Unknown",7.73280753042202
"Unknown",8.2358907259285
"Wildfire",7.86901937649902
"Wildfire",6.58340922215876
"Unknown",6.56526497003536
"Wildfire",7.755767170103
"Wildfire",6.99484998583307
"Wildfire",7.9168074909376
"Unknown",6.33859407820318
"Wildfire",6.64898455002478
"Wildfire",7.21450441415114
"Wildfire",6.3578422665081
"Wildfire",6.70441435496411
"Wildfire",7.24208235925696
"Wildfire",8.43598313599069
"Wildfire",6.96979066990159
"Unknown",6.29894924685594
"Unknown",7.43366654016617
"Wildfire",11.6145429843492
"Wildfire",6.35437004079735
"Wildfire",6.97354301952014
"Wildfire",8.00436556497957
"Wildfire",7.99631723179675
"Wildfire",7.49776170062257
"Wildfire",6.77992190747225
"Wildfire",8.76935170779897
"Wildfire",9.86329036278472
"Unknown",7.04053639021596
"Wildfire",6.45204895443723
"Wildfire",6.39359075395063
"Wildfire",7.96935774201635
"Unknown",6.21660610108486
"Wildfire",6.60258789218934
"Wildfire",6.33859407820318
"Wildfire",10.0432494949113
"Wildfire",6.28226674689601
"Unknown",6.70441435496411
"Unknown",6.65672652417839
"Unknown",6.88243747099785
"Unknown",7.10167597161944
"Unknown",7.48549160803075
"Wildfire",8.66681936537205
"Wildfire",6.30078579466324
"Unknown",7.10249935577465
"Wildfire",7.09090982207998
"Unknown",7.22183582528845
"Wildfire",6.96034772910131
"Wildfire",8.71127861513043
"Wildfire",7.3362856600213
"Unknown",6.23244801655052
"Unknown",6.47697236288968
"Unknown",7.39018142822643
"Wildfire",7.4899708988348
"Unknown",6.32793678372919
"Wildfire",7.03085747611612
"Wildfire",6.93342302573071
"Wildfire",6.46146817635372
"Wildfire",6.78105762593618
"Wildfire",7.94590959861313
"Wildfire",7.44541755670169
"Wildfire",7.99665387546261
"Unknown",6.99668148817654
"Unknown",6.56526497003536
"Wildfire",7.00940893270864
"Wildfire",7.21376830811864
"Wildfire",7.41637847919293
"Wildfire",7.87092959675514
"Wildfire",8.50512061018197
"Wildfire",7.01031186730723
"Wildfire",7.00306545878646
"Wildfire",8.71899052471085
"Wildfire",8.14380797677148
"Wildfire",7.16857989726403
"Wildfire",7.48605261786314
"Unknown",6.25958146406492
"Unknown",10.9084848903537
"Unknown",6.65157187358973
"Unknown",10.8967948795588
"Wildfire",7.20711885620776
"Wildfire",8.150467911624
"Wildfire",7.5999019592085
"Wildfire",9.03384182848502
"Wildfire",7.02108396428914
"Wildfire",8.1961611392829
"Wildfire",8.27078101316267
"Wildfire",9.16471519394991
"Wildfire",9.85896078715265
"Wildfire",9.19085169539232
"Unknown",8.28551330907974
"Unknown",7.24921505711439
"Wildfire",9.05497228474248
"Wildfire",6.99117688712121
"Unknown",6.58202513889283
"Unknown",6.42324696353352
"Unknown",7.48605261786314
"Unknown",7.8808043446749
"Wildfire",8.9237243977064
"Wildfire",7.37400185935016
"Unknown",7.17472430983638
"Wildfire",7.06390396147207
"Wildfire",6.97354301952014
"Unknown",7.32514895795557
"Unknown",6.49677499018586
"Wildfire",9.17523119486262
"Wildfire",7.39572160860205
"Wildfire",7.79358680337158
"Unknown",8.15994665557855
"Wildfire",7.52833176670725
"Wildfire",7.75362354655975
"Wildfire",7.79646924308606
"Wildfire",6.93342302573071
"Wildfire",6.56103066589657
"Unknown",7.75147531802146
"Unknown",6.37331978957701
"Wildfire",9.66453215017458
"Wildfire",7.66199755890189
"Wildfire",7.54433210805369
"Wildfire",8.68626063253178
"Wildfire",8.081784206935
"Wildfire",8.24038511551633
"Wildfire",8.21229713822977
"Wildfire",11.4347693099699
"Wildfire",7.91095738284559
"Wildfire",8.23774380389093
"Wildfire",7.49108759353488
"Wildfire",8.40312823512826
"Wildfire",7.12205988162914
"Wildfire",8.19395302356374
"Wildfire",6.9177056098353
"Wildfire",9.09504174761272
"Wildfire",7.26822302115957
"Wildfire",9.43124141073761
"Wildfire",8.67025756714308
"Wildfire",9.23268877563994
"Wildfire",6.92755790627832
"Wildfire",7.36833968631138
"Wildfire",8.54110501146255
"Wildfire",9.90688178560414
"Wildfire",7.96901178110648
"Wildfire",7.63482067774554
"Wildfire",7.76684053708551
"Wildfire",10.3723029761451
"Wildfire",10.5571399823979
"Wildfire",7.67229245562876
"Wildfire",6.94022246911964
"Wildfire",6.58479139238572
"Wildfire",6.93049476595163
"Wildfire",7.4121603349452
"Wildfire",9.55329157469511
"Wildfire",6.74523634948436
"Wildfire",7.22037383672395
"Wildfire",9.39988577385946
"Wildfire",9.00466830157398
"Wildfire",8.56044423341055
"Wildfire",8.68676717538769
"Unknown",7.78945456608667
"Wildfire",8.99305463014613
"Wildfire",8.96303219366268
"Wildfire",8.26796230533871
